GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments
1007341,1994,Anchorage Regional Landfill,AK,,15500 E. Eagle River Loop Road,Eagle River,Anchorage,99577,61.293281,-149.602138,No,Public,"Municipality of Anchorage, AK","Municipality of Anchorage, AK",1987,2043,Open,165,112,300,150,"27,104,639","9,782,936",2018,"350,084",2018,No,Not used,Yes,7.33,Yes,3.726,2017,52.1,Yes,1,,,"4/10-GCCS in operation since Oct. 2006.; 2010-53 wells, system capacity=2000 acfm.; 9/13-36 vertical wells, 21 horizontal wells, and 8 interconnections with leachate system collect from 87 acres, enclosed flare from Parnell Industries."
1010389,11941,Capitol Disposal Landfill,AK,,5600 Tonsgard Court,Juneau,Juneau,99801,58.3528,-134.4947,No,Private,"Waste Management, Inc.",,1965,2040,Open,35,,,38,"1,762,954","894,521",2018,"29,750",2018,No,Not used,No,,Yes,0.738,2018,26.6,Yes,1,0.738,2018,"9/10-16 wells over 13 acres, system installed in 2009, 1 open flare."
1005349,12216,Central Peninsula Landfill (CPL),AK,Soldotna Landfill; Central Peninsula Baling Facility; Soldotna KPB Central Landfill,46915 Sterling Highway,Soldotna,Kenai Peninsula,99669,60.44714,-151.10369,No,Public,"Kenai Peninsula Borough, AK","Kenai Peninsula Borough, AK",1969,2042,Open,,24.8,,,"2,703,698","1,638,604",2018,"41,404",2018,Yes,Several times per year,Yes,0.657,No,,,,No,,,,2010-Passive venting.
1011448,10980,Palmer Central Landfill,AK,Central Landfill - MatSu Borough,"1201 N. 49th State Street
Just off the Palmer-Wasilla Highway",Palmer,Matanuska-Susitna,99645,61.59,-149.21,No,Public,"Matanuska-Susitna Borough, AK","Matanuska-Susitna Borough, AK",1980,2168,Open,,,,45,"41,974,220","1,864,879",2018,"78,207",2018,No,Not used,Yes,,No,,,,Unknown,,,,
1006806,10961,South Cushman Landfill,AK,Fairbanks North Star Borough S. Cushman Landfill,455 Sanduri Street,Fairbanks,Fairbanks North Star,99701,64.80476,-147.70085,No,Public,"Fairbanks North Star Borough, AK","Fairbanks North Star Borough, AK",1963,2062,Open,,97.7,,,"10,291,410","4,284,358",2018,"104,771",2018,Yes,At least once per year,Yes,0.858,No,,,,No,,,,"3/11-13 wells installed in 2010, not connected yet, will be low flow.; 2012-Passive vents/flares only."
1001633,23,Advanced Disposal Cedar Hill Landfill,AL,"Harmons SLF MSWLF, Urban Sanitation Corporation SLF",1319 N. Business Creek Road,Ragland,St. Clair,35131,33.68345,-86.25272,No,Private,Advanced Disposal Services,Advanced Disposal Services,1975,2079,Open,,50,,100,"61,657,070","4,957,928",2018,"193,581",2018,Yes,Several times per year,No,1.81,Yes,0.962,2018,47.9,Yes,1,0.327,2018,"9/10-19 vertical & 1 horizontal gas well, system installed ~1998, 1 candlestick flare.; 2012-51 wells, system capacity=1800 acfm."
1006790,7,Advanced Disposal Star Ridge Landfill,AL,Acmar Coal County SLF; Acmar Regional Landfill MSWLF,3301 Acmar Road,Moody,St. Clair,35004,33.60527,-86.51658,No,Private,Advanced Disposal Services,Advanced Disposal Services,1983,2070,Open,308,47.1,,75,"39,537,375","4,822,600",2009,"263,474",2018,Yes,Several times per year,No,2.01,Yes,0.873,2018,47,Yes,1,0.654,2018,"9/10-33 vertical & 3 horizontal wells, system installed in 1999, 1 candlestick flare.; 2010-52 wells, system capacity=1800 acfm."
1001297,10860,Arrowhead Landfill,AL,Perry County Associates Landfill,"On Cahaba Road
Entrance at 626 Tayloe Road",Uniontown,Perry,36786,32.413,-87.4685,No,Private,"Green Group Holdings, LLC",,2007,2099,Open,425.3,,,,"36,527,758","4,530,903",2018,"56,170",2018,Yes,Several times per year,No,0.3,No,,,,No,,,,
1004245,2005,Black Warrior Solid Waste Facility,AL,,3301 Landfill Drive,Coker,Tuscaloosa,35452,33.24314,-87.66585,No,Public,"Black Warrior Solid Waste Disposal Authority, AL","Black Warrior Solid Waste Disposal Authority, AL",1997,2041,Open,220,80.3,,,"9,826,872","7,022,118",2018,"293,162",2018,No,Not used,No,5.2,Yes,0.771,2018,50.5,Yes,1,0.771,2018,"4/07-Flares assumed to be passive (LFG Specialties indicated in 2004 that flare(s) was in place).; 7/08-Installing GCCS & flare.; 2012-55 wells, system capacity=1400 acfm.; 5/14-Currently flaring 600 scfm at 50% methane."
1004415,2408,Brundidge Landfill,AL,,515 Cleanwater Drive,Brundidge,Pike,36010,31.7041,-85.8299,No,Private,Brundidge Acquisitions,Brundidge Acquisitions,1991,2397,Open,,,,,"23,947,035","885,870",2018,"1,950,000",2011,No,Not used,No,,No,,,,Unknown,,,,
